iter	Logloss
0	0.6325742159
1	0.5850507522
2	0.5319289437
3	0.49611961
4	0.4778258024
5	0.456498424
6	0.4354439128
7	0.4203302403
8	0.4053035193
9	0.3974025313
10	0.3815446494
11	0.373826531
12	0.368495259
13	0.3630903786
14	0.357313602
15	0.3527149612
16	0.3395564269
17	0.3345437391
18	0.3269881978
19	0.3208552279
20	0.317825055
21	0.314902501
22	0.3032345591
23	0.2996271315
24	0.2963484719
25	0.2919433906
26	0.2879350717
27	0.2864094277
28	0.2848779546
29	0.2829728543
30	0.2811248374
31	0.277238528
32	0.2723319861
33	0.27073896
34	0.2692397601
35	0.2664966554
36	0.2633843562
37	0.2615134539
38	0.2599997228
39	0.2569150212
40	0.2551290295
41	0.2531756336
42	0.2505626251
43	0.2478480118
44	0.2465807553
45	0.2445638824
46	0.2433280339
47	0.2416892605
48	0.2400019875
49	0.2375325451
50	0.2368619634
51	0.2351856229
52	0.2338053618
53	0.2334244589
54	0.2320097726
55	0.2308225293
56	0.229521483
57	0.2278531092
58	0.2264202853
59	0.2251139531
60	0.2237770512
61	0.22282447
62	0.2218269182
63	0.2203500777
64	0.219534281
65	0.2187494907
66	0.217225334
67	0.2164653207
68	0.2153932942
69	0.214754974
70	0.213717908
71	0.2125826082
72	0.2118624308
73	0.210951157
74	0.2097297414
75	0.2088506738
76	0.2079863791
77	0.2066410135
78	0.2051914683
79	0.2042668031
80	0.2037463793
81	0.2026140291
82	0.2013399005
83	0.2005558134
84	0.1995406093
85	0.1987479864
86	0.1981246084
87	0.1970016432
88	0.1957804788
89	0.1937629247
90	0.1923467577
91	0.1913654779
92	0.1906833561
93	0.1895244822
94	0.1882051307
95	0.1869045244
96	0.1856045363
97	0.1843348562
98	0.1833780252
99	0.1821434946
100	0.1806644871
101	0.1783415904
102	0.1763115501
103	0.1752194544
104	0.1732907724
105	0.1725879863
106	0.1717133019
107	0.1711422686
108	0.1703876985
109	0.1692167559
110	0.1685637041
111	0.1680301844
112	0.1674024376
113	0.1667628359
114	0.1658484899
115	0.1649650625
116	0.1639263919
117	0.1629997291
118	0.1620017131
119	0.1604094266
120	0.1595833537
121	0.158718069
122	0.1568836438
123	0.1564703407
124	0.1553628864
125	0.1539685032
126	0.1535405666
127	0.1528793443
128	0.1523200342
129	0.1515308084
130	0.1512347148
131	0.1504893946
132	0.1499398097
133	0.1484306518
134	0.1479685278
135	0.147383131
136	0.146697645
137	0.1463550551
138	0.1447980711
139	0.1441240459
140	0.1431556396
141	0.1425591201
142	0.1420191478
143	0.1416822704
144	0.1410215527
145	0.1405061844
146	0.1400689127
147	0.1396267704
148	0.1393192271
149	0.1386093515
150	0.1381348052
151	0.1375536515
152	0.1364659193
153	0.1357578876
154	0.1354854348
155	0.1348665788
156	0.134484711
157	0.1334710909
158	0.1332043002
159	0.1324472791
160	0.131721458
161	0.1312795387
162	0.1296938657
163	0.1290442687
164	0.1281037263
165	0.1266108928
166	0.1262322859
167	0.1252938738
168	0.1250527273
169	0.1245853062
170	0.123880107
171	0.1234197467
172	0.1230256497
173	0.1226351553
174	0.1223100557
175	0.1218758237
176	0.1214688836
177	0.1212180893
178	0.1209166912
179	0.1205338895
180	0.1202798116
181	0.1200594052
182	0.1196033371
183	0.1191148328
184	0.1186669559
185	0.1183421605
186	0.1178827167
187	0.1175358162
188	0.1169382516
189	0.1166815668
190	0.1163964714
191	0.1158443222
192	0.1154741819
193	0.1149467584
194	0.1144124337
195	0.1140654725
196	0.113801376
197	0.1135781019
198	0.1132038419
199	0.1129903033
200	0.1126110346
201	0.1117267792
202	0.1115304485
203	0.1108160886
204	0.1106469878
205	0.1100945627
206	0.1095854825
207	0.1094262591
208	0.1089986507
209	0.1085742497
210	0.1078406857
211	0.1076530415
212	0.1068577582
213	0.1064087544
214	0.1062593942
215	0.1059407999
216	0.1057382888
217	0.1053469195
218	0.1045613017
219	0.1041235673
220	0.1037721473
221	0.1033949128
222	0.1030659124
223	0.1026905997
224	0.1018430438
225	0.101438332
226	0.1011608142
227	0.1010125309
228	0.1004775754
229	0.1001725868
230	0.09968446323
231	0.09916805747
232	0.09878974184
233	0.09852862618
234	0.09772356735
235	0.09749138888
236	0.09698681432
237	0.09679596182
238	0.09657489845
239	0.09631916393
240	0.09567447317
241	0.09553353815
242	0.0953161479
243	0.09507596536
244	0.0942801258
245	0.09408779494
246	0.09375978587
247	0.09359176018
248	0.09343752743
249	0.09322664541
250	0.09305346982
251	0.0927232715
252	0.09251445718
253	0.09226716324
254	0.09173365145
255	0.09131663137
256	0.09120174221
257	0.09107912847
258	0.09089977185
259	0.09042230405
260	0.08991823996
261	0.08979154563
262	0.08959187195
263	0.08936260192
264	0.0890622183
265	0.08871210579
266	0.08861315737
267	0.08847339926
268	0.08827824797
269	0.08804714056
270	0.08784993688
271	0.08772745769
272	0.08757906632
273	0.08732601474
274	0.08695356981
275	0.0867086844
276	0.08657658423
277	0.08637068001
278	0.08617761249
279	0.08607627504
280	0.08581281711
281	0.08559356326
282	0.08514317937
283	0.08501199559
284	0.08472679073
285	0.08446130785
286	0.08421105603
287	0.08384890196
288	0.08365974364
289	0.08344195982
290	0.08321554272
291	0.08283304428
292	0.08270543362
293	0.08241339904
294	0.08221155366
295	0.08175904928
296	0.08165295461
297	0.0813418083
298	0.08107696634
299	0.08092445959
